match,home_team,away_team,market_name,team,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Sunderland,2.5,9.5,1.04,Sportsbet,49,289,14361171,525855425,2501045167,2501045168
Sunderland v Aston Villa,Sunderland,Aston Villa,Team Goals,Sunderland,3.5,34,1.001,Sportsbet,49,289,14361171,525855426,2501045169,2501045170
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,Crystal Palace,0.5,1.22,3.7,Sportsbet,49,289,14361166,525854572,2501039861,2501039862
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,Crystal Palace,1.5,2.26,1.56,Sportsbet,49,289,14361166,525854573,2501039863,2501039864
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,Crystal Palace,2.5,5.4,1.11,Sportsbet,49,289,14361166,525854574,2501039865,2501039866
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,Crystal Palace,3.5,14.75,1.02,Sportsbet,49,289,14361166,525854575,2501039867,2501039868
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,West Ham United,0.5,1.29,3.2,Sportsbet,49,289,14361166,525854551,2501040614,2501040615
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,West Ham United,1.5,2.57,1.44,Sportsbet,49,289,14361166,525854552,2501040616,2501040617
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,West Ham United,2.5,6.65,1.08,Sportsbet,49,289,14361166,525854553,2501040618,2501040619
West Ham United v Crystal Palace,West Ham United,Crystal Palace,Team Goals,West Ham United,3.5,19.25,1.01,Sportsbet,49,289,14361166,525854554,2501040620,2501040621
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,Tottenham Hotspur,0.5,1.14,4.85,Sportsbet,49,289,14323615,524447493,2494060785,2494060786
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,Tottenham Hotspur,1.5,1.85,1.84,Sportsbet,49,289,14323615,524447494,2494060787,2494060788
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,Tottenham Hotspur,2.5,4,1.19,Sportsbet,49,289,14323615,524447495,2494060789,2494060790
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,Tottenham Hotspur,3.5,9.9,1.04,Sportsbet,49,289,14323615,524447496,2494060791,2494060792
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,West Ham United,0.5,1.28,3.26,Sportsbet,49,289,14323615,524447557,2494060598,2494060599
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,West Ham United,1.5,2.52,1.46,Sportsbet,49,289,14323615,524447558,2494060600,2494060601
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,West Ham United,2.5,6.4,1.08,Sportsbet,49,289,14323615,524447559,2494060602,2494060603
West Ham United v Tottenham Hotspur,West Ham United,Tottenham Hotspur,Team Goals,West Ham United,3.5,19.5,1.01,Sportsbet,49,289,14323615,524447560,2494060604,2494060605
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Leeds United,0.5,1.32,3.04,Sportsbet,49,289,14361127,525851326,2501022828,2501022829
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Leeds United,1.5,2.71,1.4,Sportsbet,49,289,14361127,525851327,2501022830,2501022831
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Leeds United,2.5,7.2,1.06,Sportsbet,49,289,14361127,525851328,2501022832,2501022833
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Leeds United,3.5,23,1.01,Sportsbet,49,289,14361127,525851329,2501022834,2501022835
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Wolverhampton Wanderers,0.5,1.25,3.46,Sportsbet,49,289,14361127,525851430,2501023241,2501023242
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Wolverhampton Wanderers,1.5,2.42,1.49,Sportsbet,49,289,14361127,525851431,2501023243,2501023244
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Wolverhampton Wanderers,2.5,6,1.09,Sportsbet,49,289,14361127,525851432,2501023245,2501023246
Wolverhampton Wanderers v Leeds United,Wolverhampton Wanderers,Leeds United,Team Goals,Wolverhampton Wanderers,3.5,16.5,1.01,Sportsbet,49,289,14361127,525851433,2501023247,2501023248
