match,home_team,away_team,market_name,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,2.5,1.53,2.4,Sportsbet,49,289,12963298,463337904,2240527002,2240527001
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,3.5,2.31,1.57,Sportsbet,49,289,12963298,463337906,2240527006,2240527005
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,4.5,4.25,1.2,Sportsbet,49,289,12963298,463337908,2240527010,2240527009
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,5.5,7,1.08,Sportsbet,49,289,12963298,463337910,2240527014,2240527013
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,6.5,12,1.02,Sportsbet,49,289,12963298,463337912,2240527018,2240527017
Wolverhampton Wanderers v Bournemouth,Wolverhampton Wanderers,Bournemouth,Match Goals,7.5,34,1.004,Sportsbet,49,289,12963298,463337837,2240526730,2240526729
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,0.5,1.02,15.25,Sportsbet,49,289,12963260,463331803,2240506870,2240506869
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,1.5,1.15,5,Sportsbet,49,289,12963260,463331807,2240506878,2240506877
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,2.5,1.56,2.32,Sportsbet,49,289,12963260,463331775,2240506894,2240506893
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,3.5,2.41,1.52,Sportsbet,49,289,12963260,463331780,2240506904,2240506903
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,4.5,4.3,1.2,Sportsbet,49,289,12963260,463331784,2240506356,2240506355
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,5.5,7.5,1.06,Sportsbet,49,289,12963260,463331787,2240506369,2240506368
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,6.5,12,1.02,Sportsbet,49,289,12963260,463331851,2240506376,2240506375
West Ham United v Arsenal,West Ham United,Arsenal,Match Goals,7.5,41,1.002,Sportsbet,49,289,12963260,463331895,2240506426,2240506425
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,0.5,1.01,17.5,Sportsbet,49,289,12963209,463328486,2240494990,2240494989
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,1.5,1.13,5.4,Sportsbet,49,289,12963209,463328488,2240494994,2240494993
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,3.5,2.24,1.6,Sportsbet,49,289,12963209,463328571,2240495014,2240495013
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,2.5,1.48,2.54,Sportsbet,49,289,12963209,463328569,2240495010,2240495009
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,4.5,4,1.22,Sportsbet,49,289,12963209,463328573,2240495018,2240495017
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,5.5,6.5,1.08,Sportsbet,49,289,12963209,463328575,2240495022,2240495021
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,6.5,12,1.02,Sportsbet,49,289,12963209,463328577,2240495026,2240495025
Tottenham Hotspur v Fulham,Tottenham Hotspur,Fulham,Match Goals,7.5,34,1.004,Sportsbet,49,289,12963209,463328559,2240495231,2240495230
